VIV_accession,1_Chordata,2_Mammalia,3_Primates,4_Hominidae,5_Homo,6_Homo sapiens
VIV_1000646,1,1,1,1,1,1
VIV_1001080,1,1,0,0,0,0
VIV_1001533,1,1,0,0,0,0
VIV_100217,1,0,0,0,0,0
VIV_100220,1,1,0,0,0,0
VIV_1002273,1,1,1,1,1,1
VIV_1002359,0,0,0,0,0,0
VIV_1002360,0,0,0,0,0,0
VIV_1002918,1,1,1,0,0,0
VIV_1002921,1,1,1,0,0,0
VIV_1003835,1,1,1,1,1,1
VIV_1004049,0,0,0,0,0,0
VIV_1004889,1,1,1,1,1,1
VIV_1006061,1,0,0,0,0,0
VIV_1006583,0,0,0,0,0,0
VIV_1006585,0,0,0,0,0,0
VIV_1006586,0,0,0,0,0,0
VIV_1010668,1,0,0,0,0,0
VIV_1016879,1,0,0,0,0,0
VIV_101850,0,0,0,0,0,0
VIV_10243,1,1,1,1,1,1
VIV_10244,1,1,1,1,1,1
VIV_10245,1,1,1,1,1,1
VIV_10255,1,1,1,1,1,1
VIV_10256,1,1,0,0,0,0
VIV_10258,1,1,1,1,1,1
VIV_10261,1,0,0,0,0,0
VIV_10264,1,0,0,0,0,0
VIV_10266,1,1,0,0,0,0
VIV_10271,1,1,0,0,0,0
VIV_1027244,1,1,0,0,0,0
VIV_1027245,1,1,0,0,0,0
VIV_1027247,1,1,0,0,0,0
VIV_1027248,1,1,0,0,0,0
VIV_10273,1,1,0,0,0,0
VIV_1027468,1,1,1,0,0,0
VIV_10276,1,1,0,0,0,0
VIV_1027947,0,0,0,0,0,0
VIV_10280,1,1,1,1,1,1
VIV_10288,0,0,0,0,0,0
VIV_10295,1,1,1,0,0,0
VIV_10298,1,1,1,1,1,1
VIV_10310,1,1,1,1,1,1
VIV_10317,1,1,1,1,1,1
VIV_1032478,0,0,0,0,0,0
VIV_10325,1,1,1,1,1,1
VIV_10326,1,1,0,0,0,0
VIV_10331,1,1,0,0,0,0
VIV_10334,1,1,0,0,0,0
VIV_10335,1,1,1,1,1,1
VIV_1034377,0,0,0,0,0,0
VIV_103442,0,0,0,0,0,0
VIV_10345,1,1,1,1,1,1
VIV_1034790,0,0,0,0,0,0
VIV_1034792,0,0,0,0,0,0
VIV_1034805,0,0,0,0,0,0
VIV_1034806,0,0,0,0,0,0
VIV_10353,1,1,1,1,1,1
VIV_10359,1,1,1,1,1,1
VIV_103603,1,0,0,0,0,0
VIV_10366,1,1,0,0,0,0
VIV_1036963,1,1,0,0,0,0
VIV_10371,1,1,0,0,0,0
VIV_10372,1,1,1,1,1,1
VIV_10376,1,1,1,1,1,1
VIV_103782,0,0,0,0,0,0
VIV_1038068,1,1,1,1,1,1
VIV_10381,1,1,1,1,1,1
VIV_10385,1,1,0,0,0,0
VIV_10386,1,0,0,0,0,0
VIV_10390,1,1,1,1,1,1
VIV_10397,1,1,0,0,0,0
VIV_10398,1,1,0,0,0,0
VIV_10401,1,0,0,0,0,0
VIV_10406,1,1,0,0,0,0
VIV_10407,1,1,1,1,1,1
VIV_1041806,0,0,0,0,0,0
VIV_1041831,0,0,0,0,0,0
VIV_1041883,0,0,0,0,0,0
VIV_1041929,0,0,0,0,0,0
VIV_104388,1,0,0,0,0,0
VIV_10449,0,0,0,0,0,0
VIV_10454,0,0,0,0,0,0
VIV_10455,0,0,0,0,0,0
VIV_10456,0,0,0,0,0,0
VIV_1045778,0,0,0,0,0,0
VIV_104580,1,1,1,1,1,1
VIV_104581,0,0,0,0,0,0
VIV_1046251,1,1,1,1,1,1
VIV_1046267,0,0,0,0,0,0
VIV_10464,0,0,0,0,0,0
VIV_10484,0,0,0,0,0,0
VIV_1048854,1,1,1,1,1,1
VIV_1048855,0,0,0,0,0,0
VIV_1048857,1,1,0,0,0,0
VIV_10493,1,1,0,0,0,0
VIV_10497,1,1,1,0,0,0
VIV_10510,1,1,0,0,0,0
VIV_10511,1,1,0,0,0,0
VIV_10514,1,1,0,0,0,0
VIV_10519,1,1,1,1,1,1
VIV_10522,1,1,1,1,1,1
VIV_10532,1,1,1,0,0,0
VIV_10533,1,1,1,1,1,1
VIV_10537,1,1,0,0,0,0
VIV_1055684,1,1,1,1,1,1
VIV_1055750,0,0,0,0,0,0
VIV_10561,1,1,0,0,0,0
VIV_10564,1,1,0,0,0,0
VIV_10565,1,1,0,0,0,0
VIV_10566,1,1,1,1,1,1
VIV_10567,1,1,0,0,0,0
VIV_10568,1,1,0,0,0,0
VIV_10570,1,1,1,0,0,0
VIV_10571,1,1,0,0,0,0
VIV_10589,1,1,1,1,1,1
VIV_10600,1,1,1,1,1,1
VIV_10611,1,1,1,1,1,1
VIV_10616,1,1,1,1,1,1
VIV_10617,1,1,1,1,1,1
VIV_10620,1,1,1,1,1,1
VIV_10621,1,1,1,1,1,1
VIV_10623,1,1,0,0,0,0
VIV_10632,1,1,1,1,1,1
VIV_106331,1,1,1,0,0,0
VIV_106333,1,1,1,1,1,1
VIV_1070315,0,0,0,0,0,0
VIV_1070324,1,1,0,0,0,0
VIV_1070408,1,1,1,1,1,1
VIV_1070409,1,1,1,1,1,1
VIV_1070410,1,1,1,1,1,1
VIV_1070413,1,1,1,1,1,1
VIV_1070417,1,1,1,1,1,1
VIV_1072176,1,1,0,0,0,0
VIV_1072204,1,1,0,0,0,0
VIV_1072333,0,0,0,0,0,0
VIV_1073950,1,1,0,0,0,0
